n_gram_size,words,count
4,sources_remain_unclear_insufficient,1
4,references_sources_remain_unclear,1
4,remain_unclear_insufficient_inline,1
4,insufficient_inline_damn_thing,1
4,help_improve_article_introducing,1
4,improve_article_introducing_precise,1
4,unclear_insufficient_inline_citations,1
4,citations_please_help_improve,1
4,making_note_insufficient_inline,1
4,article_introducing_precise_citations,1
4,im_making_note_insufficient,1
4,insufficient_inline_citations_please,1
4,please_help_improve_article,1
4,inline_citations_please_help,1
4,includes_list_references_sources,1
4,list_references_sources_remain,1
4,article_includes_list_references,1
4,article_citations_insufficient_inline,1
4,citations_insufficient_inline_damn,1
